"National Park","JAN 2023","FEB 2023","MAR 2023","APR 2023","MAY 2023","JUN 2023","JUL 2023","AUG 2023","SEP 2023","OCT 2023","NOV 2023","DEC 2023","Total2023","JAN 2024","FEB 2024","MAR 2024","APR 2024","MAY 2024","JUN 2024","JUL 2024","AUG 2024","SEP 2024","OCT 2024","NOV 2024","DEC 2024","Total2024","TotalDiff"
"Acadia NP",15217,15281,30822,102928,340425,566535,767956,774296,643506,541067,66987,14870,3879890,15538,14071,25696,95165,320885,599015,791029,795332,646116,567466,76388,14960,3961661,81771
"Arches NP",31427,41264,132502,151232,188274,180782,165671,144080,174673,140260,83843,48037,1482045,28088,51510,143166,156720,195379,180563,156052,143726,148366,135716,78397,48845,1466528,-15517
"Badlands NP",10925,11426,22390,30572,99117,198393,248304,202433,142610,53066,16467,10697,1046400,8549,10397,25776,37328,109385,218729,234886,199919,139875,71915,22887,14599,1094245,47845
"Big Bend NP",45373,48362,83159,62014,40011,22634,16913,12760,22637,44332,56400,54534,509129,40498,48302,100315,77541,38083,20004,16417,15741,23902,49181,65273,66201,561458,52329
"Biscayne NP",48536,53636,61580,61781,53570,46952,66638,41872,47306,32702,27289,29380,571242,31701,37428,46810,41856,51610,47208,58503,40348,49744,41396,32466,33143,512213,-59029
"Black Canyon of the Gunnison NP",15001,7534,8363,11376,31876,50739,53534,53177,56683,45493,17763,5530,357069,6951,6601,9383,10538,34270,57224,53237,51827,54665,34019,11539,5608,335862,-21207
"Bryce Canyon NP",29457,32094,79911,207926,315097,356652,343627,310367,367425,284766,78430,55517,2461269,32464,39629,103536,229797,337175,347567,319540,300280,366719,272988,83001,65379,2498075,36806
"Canyonlands NP",7529,13049,62300,102674,119438,92284,72734,64707,99439,101576,44314,20278,800322,6055,17841,79031,107239,120011,88579,70592,65386,105723,96428,41545,20062,818492,18170
"Capitol Reef NP",10921,18160,74501,135478,191143,193935,113890,103047,174351,171042,53727,28666,1268861,20490,20301,88763,159923,211504,157882,127118,114322,201326,197115,79974,43772,1422490,153629
"Carlsbad Caverns NP",17532,19802,48596,38773,35216,42895,44816,25083,26461,37016,28331,29600,394121,19713,21587,54031,50142,38458,52133,54587,42598,27589,35854,30660,33122,460474,66353
"Channel Islands NP",12950,19726,25063,27243,30918,36635,38390,31076,31607,28935,27115,19088,328746,17055,14888,23069,22081,23374,26180,32816,26380,20251,23694,17900,14893,262581,-66165
"Congaree NP",15374,15073,28505,21710,28944,20379,18389,11939,21252,26087,23527,18935,250114,13574,16847,33992,23386,33257,20048,16342,12143,12754,21310,23423,14973,242049,-8065
"Crater Lake NP",4384,8143,14062,15850,29030,54566,155809,127179,78550,45595,15376,11432,559976,4659,5304,7277,13142,31706,66311,153196,93343,75658,42103,7238,5005,504942,-55034
"Cuyahoga Valley NP",89779,100226,170006,226008,344820,361455,402344,368783,272823,269796,143399,110620,2860059,84307,101659,213800,280875,311592,354492,399887,300183,269880,307446,156954,131379,2912454,52395
"Death Valley NP",84177,115023,145647,144868,113857,81845,86776,81202,0,41089,98719,106429,1099632,85415,123912,161476,165429,139306,69830,99078,110158,105027,129633,129189,122031,1440484,340852
"Denali NP & PRES",1683,2662,5426,5714,34134,116853,138246,133255,50544,5282,2437,2486,498722,2265,3828,9651,7485,35884,116208,98514,132364,48019,6405,2428,3176,466227,-32495
"Dry Tortugas NP",5956,6899,7989,7707,9215,8474,7375,6904,6382,4820,6147,6417,84285,7673,7108,7961,8194,8542,8325,7835,5165,5690,4288,6577,7515,84873,588
