parkCode,fullName,Photography,Colonization and Settlement,Lighthouses,Schools and Education,Animals,Fish,Forests and Woodlands,Geology,Lakes,Mountains,Night Sky,Astronomy,Rock Landscapes and Features,Trails,Fossils and Paleontology,Scenic Views,Unique Species,Endangered,Wilderness,Ruins,Canyons and Canyonlands,Hot Springs,River and Riparian,Ships and Shipwrecks,Explorers and Expeditions,Glaciers,Volcanoes,Waterfalls,Architecture and Building,Freshwater Springs
acad,Acadia National Park,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arch,Arches National Park,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badl,Badlands National Park,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
bibe,Big Bend National Park,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
bisc,Biscayne National Park,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
blca,Black Canyon Of The Gunnison National Park,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
brca,Bryce Canyon National Park,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
cany,Canyonlands National Park,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
care,Capitol Reef National Park,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
cave,Carlsbad Caverns National Park,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
chis,Channel Islands National Park,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0
cong,Congaree National Park,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
crla,Crater Lake National Park,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0
cuva,Cuyahoga Valley National Park,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
