parkCode,fullName,Photography,Colonization_and_Settlement,Lighthouses,Schools_and_Education,Animals,Fish,Forests_and_Woodlands,Geology,Lakes,Mountains,Night_Sky,Astronomy,Rock_Landscapes_and_Features,Trails,Fossils_and_Paleontology,Scenic_Views,Unique_Species,Endangered,Wilderness,Ruins,Canyons_and_Canyonlands,Hot_Springs,River_and_Riparian,Ships_and_Shipwrecks,Explorers_and_Expeditions,Glaciers,Volcanoes,Waterfalls,Architecture_and_Building,Freshwater_Springs,Prop_JAN,Prop_FEB,Prop_MAR,Prop_APR,Prop_MAY,Prop_JUN,Prop_JUL,Prop_AUG,Prop_SEP,Prop_OCT,Prop_NOV,Prop_DEC,TotalVisitors2024
acad,Acadia NP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003922092273922479,0.0035517930484208517,0.006486168301629039,0.024021489976047927,0.08099759166672767,0.1512029928860647,0.19967104706838873,0.20075720764598484,0.16309219794424612,0.14323941397307846,0.019281811341253074,0.0037761938742360843,3961661
arch,Arches NP,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019152719893517207,0.0351237753387593,0.09762241157345786,0.10686464902136202,0.13322555041567566,0.12312277706255864,0.10640915141067883,0.09800426585786293,0.10116820135721923,0.09254238582556897,0.053457554168757776,0.0333065580745816,1466528
badl,Badlands NP,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.007812692769900707,0.009501528451123835,0.023555967813423867,0.03411301856531215,0.09996390205118598,0.19989033534537512,0.2146557672184931,0.18270040073292546,0.12782786304712382,0.06572111364456772,0.020915791253329923,0.013341619107238325,1094245
bibe,Big Bend NP,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0.0721300613759177,0.08602958725318724,0.17866875171428673,0.13810650128771876,0.06782876012097076,0.03562866679252945,0.029239943148018196,0.02803593501205789,0.04257130542266741,0.08759515404536047,0.11625624712801313,0.11790908669927225,561458
bisc,Biscayne NP,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.06189026830634912,0.07307116375414134,0.09138776251286086,0.08171600486516352,0.10075886398822365,0.09216478301019303,0.11421615616940609,0.0787719171516537,0.09711584828967637,0.08081794097377458,0.06338378760398507,0.06470550337457269,512213
blca,Black Canyon of the Gunnison NP,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0.02069600014291584,0.019653905473081205,0.02793706939159536,0.03137598180204965,0.10203595524352264,0.17037950110462036,0.15850855410853268,0.15431040129577028,0.16276030036145797,0.10128862449458409,0.0343563725577767,0.01669733402409323,335862
brca,Bryce Canyon NP,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.012995606617095163,0.015863815137655994,0.04144631366151937,0.09198963201665282,0.13497392992604304,0.13913393312850894,0.1279144941605036,0.12020455750928215,0.14680063649009736,0.1092793450957237,0.03322598400768592,0.02617175224923191,2498075
cany,Canyonlands NP,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.007397750985959545,0.021797403028985012,0.09655683867404935,0.13102021766859054,0.146624524124854,0.10822219398601331,0.0862464141372182,0.07988593657604473,0.1291680309642611,0.11781178068936532,0.0507579793082889,0.024510929856370007,818492
care,Capitol Reef NP,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0.014404319186778114,0.01427145357788104,0.06239973567476748,0.11242469191347566,0.14868575526014244,0.11098988393591519,0.08936301836919767,0.08036752455201794,0.14153069617361105,0.13857039416797307,0.05622113336473367,0.030771393823506667,1422490
cave,Carlsbad Caverns NP,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04281023467123008,0.04687995413421822,0.11733778671542802,0.10889214157585445,0.08351828767748017,0.11321594704587012,0.11854523816762727,0.09250902331076238,0.059914349127203705,0.07786324526466207,0.06658356389285823,0.0719302284168053,460474
