parkCode,fullName,Month,Visitors,Photography,Colonization_and_Settlement,Lighthouses,Schools_and_Education,Animals,Fish,Forests_and_Woodlands,Geology,Lakes,Mountains,Night_Sky,Astronomy,Rock_Landscapes_and_Features,Trails,Fossils_and_Paleontology,Scenic_Views,Unique_Species,Endangered,Wilderness,Ruins,Canyons_and_Canyonlands,Hot_Springs,River_and_Riparian,Ships_and_Shipwrecks,Explorers_and_Expeditions,Glaciers,Volcanoes,Waterfalls,Architecture_and_Building,Freshwater_Springs,Month_JAN,Month_FEB,Month_MAR,Month_APR,Month_MAY,Month_JUN,Month_JUL,Month_AUG,Month_SEP,Month_OCT,Month_NOV,Month_DEC
acad,Acadia NP,APR,95165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
acad,Acadia NP,AUG,795332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
acad,Acadia NP,DEC,14960,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
acad,Acadia NP,FEB,14071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
acad,Acadia NP,JAN,15538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
acad,Acadia NP,JUL,791029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
acad,Acadia NP,JUN,599015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
acad,Acadia NP,MAR,25696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
acad,Acadia NP,MAY,320885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
acad,Acadia NP,NOV,76388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
acad,Acadia NP,OCT,567466,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
